title,employer,min_salary,max_salary,source,link
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/43278396
Data analyst (Python),Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/42725363
Data Engineer,Playgendary,-,-,https://hh.ru,https://hh.ru/vacancy/41612190
Data Engineer (Team Lead),ООО РАБЛЗ,350 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/42777503
"Data Platform Engineer, Online Retailer",DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/43746480
"Data Platform Engineer with PostgreSQL Skills, Online Retailer",DataArt,-,-,https://hh.ru,https://hh.ru/vacancy/42614644
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/41279408
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/42196978
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/42197304
Data analyst (ДКК 360),Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/43490017
Lead Python developer/Data Engineer,IT_Selection,6 000 USD,8 000 USD,https://hh.ru,https://hh.ru/vacancy/43128938
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/42197254
Data engineer,СберЗвук,-,-,https://hh.ru,https://hh.ru/vacancy/38275082
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/43278341
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/43278287
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/43278400
Інженер даних,"МХП, агроіндустріальний холдинг",-,-,https://hh.ru,https://hh.ru/vacancy/43326442
Data Integration Engineer,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",-,-,https://hh.ru,https://hh.ru/vacancy/43919065
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/43278416
Data engineer (ISAP),Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/42982850
Senior/Lead Big Data Engineer,DemandMatrix,300 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43880088
Lead Python developer/Data Engineer,IT_Selection,6 000 USD,8 000 USD,https://hh.ru,https://hh.ru/vacancy/43128939
Data Scientist (middle or senior),ООО РАБЛЗ,-,500 000 руб.,https://hh.ru,https://hh.ru/vacancy/42956307
Data Engineer,СберЗдоровье,-,-,https://hh.ru,https://hh.ru/vacancy/43855888
Data Engineer,Playgendary,-,-,https://hh.ru,https://hh.ru/vacancy/41612191
Data Engineer,Playrix,-,-,https://hh.ru,https://hh.ru/vacancy/43278414
Data engineer,Devim,-,-,https://hh.ru,https://hh.ru/vacancy/43889476
Senior Data Scientist (Recommender Systems),Grid Dynamics,-,-,https://hh.ru,https://hh.ru/vacancy/43875018
DevOps Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43908190
DevOps Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43908191
Data Engineer,СберЗдоровье,-,-,https://hh.ru,https://hh.ru/vacancy/43855889
Data Integration Engineer,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",-,-,https://hh.ru,https://hh.ru/vacancy/43919066
Senior DevOps Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43893582
Senior DevOps Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43893583
Data Engineer (Junior+),Kelly Services,120 000 руб.,-,https://hh.ru,https://hh.ru/vacancy/43895508
Data Scientist / ML-engineer (NLP),Just AI,-,-,https://hh.ru,https://hh.ru/vacancy/37085138
Data Engineer (Middle/Senior),Сбер для экспертов,-,-,https://hh.ru,https://hh.ru/vacancy/43123804
Senior DevOps Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43893581
Senior DevOps Engineer,Provectus,-,-,https://hh.ru,https://hh.ru/vacancy/43893584
Data Analyst / Engineer (Big data),Банк ВТБ (ПАО),-,-,https://hh.ru,https://hh.ru/vacancy/43220980
